NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
kube-system   10m         Normal    Started                          pod/local-path-provisioner-578895bd58-4rfgv    Started container local-path-provisioner
kube-system   10m         Normal    Pulled                           pod/metrics-server-7b9c9c4b9c-4b4bc            Successfully pulled image "rancher/mirrored-metrics-server:v0.8.0" in 11.059s (11.059s including waiting). Image size: 83737288 bytes.
kube-system   10m         Normal    Created                          pod/metrics-server-7b9c9c4b9c-4b4bc            Created container: metrics-server
kube-system   10m         Normal    Created                          pod/helm-install-traefik-crd-hz5dw             Created container: helm
kube-system   10m         Normal    Started                          pod/helm-install-traefik-crd-hz5dw             Started container helm
kube-system   10m         Normal    Started                          pod/metrics-server-7b9c9c4b9c-4b4bc            Started container metrics-server
kube-system   10m         Normal    Started                          pod/coredns-7896679cc-p46np                    Started container coredns
kube-system   10m         Normal    Pulled                           pod/coredns-7896679cc-p46np                    Successfully pulled image "rancher/mirrored-coredns-coredns:1.12.3" in 12.104s (12.104s including waiting). Image size: 75196809 bytes.
kube-system   10m         Normal    Created                          pod/coredns-7896679cc-p46np                    Created container: coredns
kube-system   10m         Warning   Unhealthy                        pod/metrics-server-7b9c9c4b9c-4b4bc            Readiness probe failed: Get "https://10.80.0.3:10250/readyz": dial tcp 10.80.0.3:10250: connect: connection refused
kube-system   10m         Warning   BackOff                          pod/helm-install-traefik-whjhh                 Back-off restarting failed container helm in pod helm-install-traefik-whjhh_kube-system(5129b4a2-1338-4e44-926d-eaab5be35a59)
kube-system   10m         Normal    ApplyJob                         helmchart/traefik-crd                          Applying HelmChart using Job kube-system/helm-install-traefik-crd
kube-system   10m         Normal    Completed                        job/helm-install-traefik-crd                   Job completed
kube-system   10m         Warning   Unhealthy                        pod/metrics-server-7b9c9c4b9c-4b4bc            Readiness probe failed: HTTP probe failed with statuscode: 500
kube-system   10m         Normal    SuccessfulCreate                 replicaset/traefik-6f986b958c                  Created pod: traefik-6f986b958c-gxtc6
kube-system   10m         Normal    EnsuringLoadBalancer             service/traefik                                Ensuring load balancer
kube-system   10m         Normal    Pulled                           pod/helm-install-traefik-whjhh                 Container image "rancher/klipper-helm:v0.9.8-build20250709" already present on machine
